sample_uid	sample_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
106196	ET_Pstr_54_2018	35125	24596	448	24569	447	27	1	0	0	23470	38	0	623	2395	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Mussidae	Pseudodiploria	strigosa	18.30018900	64.71677400	2018.08.13	9.9
106161	ET_Pstr_54_2017	30278	20471	434	20456	433	15	1	0	0	19686	41	0	741	1941	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Mussidae	Pseudodiploria	strigosa	18.30018900	64.71677400	2017.08.02	9.9
106225	ET_Cnat_52_2019	27727	17435	420	17426	419	9	1	0	0	16658	31	0	1123	1326	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Mussidae	Colpophyllia	natans	18.30018900	64.71677400	2019.07.24	9.5
106159	ET_Cnat_52_2017	34797	20432	468	20424	467	8	1	0	0	19571	29	0	1546	1410	0	0	0	12	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Mussidae	Colpophyllia	natans	18.30018900	64.71677400	2017.08.02	9.5
106117	CH_Dlab_13_2017	54652	38939	615	38888	614	0	0	51	1	37445	26	0	3954	4	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Mussidae	Diploria	labrynthiformis	18.30011200	64.71675200	2017.08.02	8.4
106255	CH_Dlab_13_2019	24209	15957	306	15925	305	0	0	32	1	15355	22	0	1706	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Mussidae	Diploria	labrynthiformis	18.30011200	64.71675200	2019.07.19	8.4
106221	CH_Dlab_13_2018	30172	20609	352	20572	351	0	0	37	1	19715	21	0	2314	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Mussidae	Diploria	labrynthiformis	18.30011200	64.71675200	2018.08.15	8.4
106132	ET_Dlab_36_2017	19380	13314	249	13314	249	0	0	0	0	12910	23	0	1351	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Mussidae	Diploria	labrynthiformis	18.30018900	64.71677400	2017.07.31	7.8
106115	CH_Pstr_82_2017	24635	16018	305	16018	305	0	0	0	0	15571	24	0	2011	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Mussidae	Pseudodiploria	strigosa	18.30011200	64.71675200	2017.07.30	9.1
106240	CH_Ssid_51_2019	48054	35316	627	35316	627	0	0	0	0	34508	24	0	4379	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Siderastreidae 	Siderastrea	siderea	18.30011200	64.71675200	2019.07.27	9.6
106109	CH_Dlab_79_2017	18087	11023	217	10934	214	89	3	0	0	10545	22	0	1532	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Mussidae	Diploria	labrynthiformis	18.30011200	64.71675200	2017.07.29	6.6
106119	WP_Dlab_23_2017	25642	17364	330	17364	330	0	0	0	0	16727	32	0	2939	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Mussidae	Diploria	labrynthiformis	18.30025300	64.71693500	2017.07.30	8.6
106227	ET_Dlab_37_2019	23947	14358	298	14358	298	0	0	0	0	14030	32	0	2234	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Mussidae	Diploria	labrynthiformis	18.30018900	64.71677400	2019.07.24	7.8
106269	WP_Dlab_23_2019	29292	21058	382	21058	382	0	0	0	0	20316	32	0	3952	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Mussidae	Diploria	labrynthiformis	18.30025300	64.71693500	2019.07.29	8.6
106198	ET_Dlab_36_2018	61989	47443	658	47443	658	0	0	0	0	45988	19	0	4744	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Mussidae	Diploria	labrynthiformis	18.30018900	64.71677400	2018.08.13	7.8
106259	WP_Dlab_20_2019	44389	29113	443	28222	433	891	10	0	0	27528	19	0	9278	10	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Mussidae	Diploria	labrynthiformis	18.30025300	64.71693500	2019.07.29	9.1
106165	WP_Dlab_63_2017	30291	17993	258	17360	251	633	7	0	0	17053	22	0	5618	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Mussidae	Diploria	labrynthiformis	18.30025300	64.71693500	2017.08.03	8.9
106127	WP_Dlab_20_2017	22009	13257	244	12895	239	362	5	0	0	12551	27	0	4252	10	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Mussidae	Diploria	labrynthiformis	18.30025300	64.71693500	2017.07.30	9.1
