PLUG.ID,sample_name,Site.Name,TIME.POINT,Species,collection_date
ET_Ofra_40_2019,ET_Ofra_40_2019,EastTektite,2019,Orbicella franksi,2019.07.24
ET_Cnat_52_2019,ET_Cnat_52_2019,EastTektite,2019,Colpophyllia natans,2019.07.24
ET_Mcav_39_2019,ET_Mcav_39_2019,EastTektite,2019,Montastraea cavernosa,2019.07.24
ET_Dlab_37_2019,ET_Dlab_37_2019,EastTektite,2019,Diploria labrynthiformis,2019.07.24
ET_Dlab_36_2019,ET_Dlab_36_2019,EastTektite,2019,Diploria labrynthiformis,2019.07.24
ET_Pstr_45_2019,ET_Pstr_45_2019,EastTektite,2019,Pseudodiploria strigosa,2019.07.24
ET_Ssid_44_2019,ET_Ssid_44_2019,EastTektite,2019,Siderastrea siderea,2019.07.24
ET_Dlab_57_2019,ET_Dlab_57_2019,EastTektite,2019,Diploria labrynthiformis,2018.08.13
ET_Pstr_42_2019,ET_Pstr_42_2019,EastTektite,2019,Pseudodiploria strigosa,2019.07.24
ET_Ssid_41_2019,ET_Ssid_41_2019,EastTektite,2019,Siderastrea siderea,2019.07.24
ET_Mcav_55_2019,ET_Mcav_55_2019,EastTektite,2019,Montastraea cavernosa,2019.07.24
ET_Ofra_59_2019,ET_Ofra_59_2019,EastTektite,2019,Orbicella franksi,2018.08.13
CH_Cnat_48_2019,CH_Cnat_48_2019,CabritteHorn,2019,Colpophyllia natans,2019.07.27
CH_Mcav_06_2019,CH_Mcav_06_2019,CabritteHorn,2019,Montastraea cavernosa,2019.07.27
ET_Pfur_30_2019,ET_Pfur_30_2019,EastTektite,2019,Porites furcata,2019.07.24
CH_Dlab_50_2019,CH_Dlab_50_2019,CabritteHorn,2019,Diploria labrynthiformis,2019.07.27
CH_Ssid_51_2019,CH_Ssid_51_2019,CabritteHorn,2019,Siderastrea siderea,2019.07.27
CH_Ssid_46_2019,CH_Ssid_46_2019,CabritteHorn,2019,Siderastrea siderea,2019.07.27
CH_Pstr_82_2019,CH_Pstr_82_2019,CabritteHorn,2019,Pseudodiploria strigosa,2019.07.27
CH_Oann_80_2019,CH_Oann_80_2019,CabritteHorn,2019,Orbicella annularis,2019.07.27
CH_Pstr_10_2019,CH_Pstr_10_2019,CabritteHorn,2019,Pseudodiploria strigosa,2019.07.27
CH_Ssid_07_2019,CH_Ssid_07_2019,CabritteHorn,2019,Siderastrea siderea,2019.07.27
CH_Ofra_81_2019,CH_Ofra_81_2019,CabritteHorn,2019,Orbicella franksi,2019.07.27
WP_Ssid_39_2019,WP_Ssid_39_2019,WhitePoint,2019,Siderastrea siderea,2019.07.29
WP_Cnat_31_2019,WP_Cnat_31_2019,WhitePoint,2019,Colpophyllia natans,2019.07.29
WP_Mcav/Pstr_70/16_2019,WP_Mcav/Pstr_70/16_2019,WhitePoint,2019,Montastraea/Pseudodiploria cavernosa/labrynthiformis,2019.07.29
CH_Cnat_05_2019,CH_Cnat_05_2019,CabritteHorn,2019,Colpophyllia natans,2019.07.27
CH_Ofav_03_2019,CH_Ofav_03_2019,CabritteHorn,2019,Orbicella faveolata,2019.07.29
CH_Mcav_49_2019,CH_Mcav_49_2019,CabritteHorn,2019,Montastraea cavernosa,2019.07.27
CH_Mcav_58_2019,CH_Mcav_58_2019,CabritteHorn,2019,Montastraea cavernosa,2019.07.27
CH_Cnat_12_2019,CH_Cnat_12_2019,CabritteHorn,2019,Colpophyllia natans,2019.07.27
CH_Dlab_13_2019,CH_Dlab_13_2019,CabritteHorn,2019,Diploria labrynthiformis,2019.07.19
WP_Ssid_73_2019,WP_Ssid_73_2019,WhitePoint,2019,Siderastrea siderea,2019.07.29
WP_Ssid_38_2019,WP_Ssid_38_2019,WhitePoint,2019,Siderastrea siderea,2019.07.29
WP_Ofra_17_2019,WP_Ofra_17_2019,WhitePoint,2019,Orbicella franksi,2019.07.29
WP_Dlab_20_2019,WP_Dlab_20_2019,WhitePoint,2019,Diploria labrynthiformis,2019.07.29
WP_Mcav_69_2019,WP_Mcav_69_2019,WhitePoint,2019,Montastraea cavernosa,2019.07.19
WP_Ssid_21_2019,WP_Ssid_21_2019,WhitePoint,2019,Siderastrea siderea,2019.07.29
WP_Ssid_77_2019,WP_Ssid_77_2019,WhitePoint,2019,Siderastrea siderea,2019.07.29
WP_Ssid_45_2019,WP_Ssid_45_2019,WhitePoint,2019,Siderastrea siderea,2019.07.29
WP_Ssid_46_2019,WP_Ssid_46_2019,WhitePoint,2019,Siderastrea siderea,2019.07.29
WP_Ssid_47_2019,WP_Ssid_47_2019,WhitePoint,2019,Siderastrea siderea,2019.07.29
WP_Pstr_28_2019,WP_Pstr_28_2019,WhitePoint,2019,Pseudodiploria strigosa,2019.07.29
WP_Ofav_18_2019,WP_Ofav_18_2019,WhitePoint,2019,Orbicella faveolata,2019.07.29
WP_Mcav_19_2019,WP_Mcav_19_2019,WhitePoint,2019,Montastraea cavernosa,2019.07.29
WP_Dlab_23_2019,WP_Dlab_23_2019,WhitePoint,2019,Diploria labrynthiformis,2019.07.29
WP_Pstr_68_2019,WP_Pstr_68_2019,WhitePoint,2019,Pseudodiploria strigosa,2019.07.29
WP_Pstr_66_2019,WP_Pstr_66_2019,WhitePoint,2019,Pseudodiploria strigosa,2019.07.29
WP_Ofav_64_2019,WP_Ofav_64_2019,WhitePoint,2019,Orbicella faveolata,2019.07.29
WP_Oann_67_2019,WP_Oann_67_2019,WhitePoint,2019,Orbicella annularis,2019.07.19
WP_Ssid_57_2019,WP_Ssid_57_2019,WhitePoint,2019,Siderastrea siderea,2019.07.29
WP_Ssid_72_2019,WP_Ssid_72_2019,WhitePoint,2019,Siderastrea siderea,2019.07.29
WP_Ssid_59_2019,WP_Ssid_59_2019,WhitePoint,2019,Siderastrea siderea,2019.07.29
WP_Oann_24_2019,WP_Oann_24_2019,WhitePoint,2019,Orbicella annularis,2019.07.29
WP_Ssid_26_2019,WP_Ssid_26_2019,WhitePoint,2019,Siderastrea siderea,2017.07.30
WP_Ofra_65_2019,WP_Ofra_65_2019,WhitePoint,2019,Orbicella franksi,2019.07.29
WP_Mcav_25_2019,WP_Mcav_25_2019,WhitePoint,2019,Montastraea cavernosa,2019.07.29
